OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
ACF,93575,Child Care and Development Block Grant,20RKAKCCC3,CCC3-2020,4/13/2020,AKIACHAK NATIVE COMMUNITY,AKIACHAK,AK,C3,"$34,570"
ACF,93575,Child Care and Development Block Grant,20QVAKCCC3,CCC3-2020,4/13/2020,AKIAK NATIVE COMMUNITY,AKIAK,AK,C3,"$16,640"
ACF,93575,Child Care and Development Block Grant,20ROAKCCC3,CCC3-2020,4/13/2020,"COOK INLET TRIBAL COUNCIL, INC",ANCHORAGE,AK,C3,"$1,619,368"
ACF,93575,Child Care and Development Block Grant,20RFAKCCC3,CCC3-2020,4/13/2020,ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,ANCHORAGE,AK,C3,"$30,442"
ACF,93575,Child Care and Development Block Grant,20PWAKCCC3,CCC3-2020,4/13/2020,CHUGACHMIUT,ANCHORAGE,AK,C3,"$47,340"
ACF,93575,Child Care and Development Block Grant,20PCAKCCC3,CCC3-2020,4/13/2020,ARCTIC SLOPE NATIVE ASSOCIATION LIMITED,BARROW,AK,C3,"$109,514"
ACF,93575,Child Care and Development Block Grant,20RRAKCCC3,CCC3-2020,4/13/2020,NATIVE VILLAGE OF BARROW,BARROW,AK,C3,"$216,449"
ACF,93575,Child Care and Development Block Grant,20RGAKCCC3,CCC3-2020,4/13/2020,ORUTSARAMUIT NATIVE COUNCIL,BETHEL,AK,C3,"$225,865"
ACF,93575,Child Care and Development Block Grant,20QLAKCCC3,CCC3-2020,4/13/2020,ASSOCIATION OF VILLAGE COUNCIL PRESIDENTS (ONAP),BETHEL,AK,C3,"$697,332"
ACF,93575,Child Care and Development Block Grant,20PRAKCCC3,CCC3-2020,4/13/2020,"COPPER RIVER NATIVE ASSOCIATION, INC",COPPER CENTER,AK,C3,"$17,414"
ACF,93575,Child Care and Development Block Grant,20PQAKCCC3,CCC3-2020,4/13/2020,"BRISTOL BAY NATIVE ASSOCIATION, (ONAP)",DILLINGHAM,AK,C3,"$210,386"
ACF,93575,Child Care and Development Block Grant,20PNAKCCC3,CCC3-2020,4/13/2020,"Dena Nena Henash a/b/a Tanana Chiefs Confereence, Inc.",FAIRBANKS,AK,C3,"$309,065"
ACF,93575,Child Care and Development Block Grant,20SPAKCCC3,CCC3-2020,4/13/2020,HOONAH INDIAN ASSOCIATION,HOONAH,AK,C3,"$16,124"
ACF,93575,Child Care and Development Block Grant,20PFAKCCC3,CCC3-2020,4/13/2020,TLINGIT & HAIDA TRIBES CENTRAL COUNCIL,JUNEAU,AK,C3,"$868,247"
ACF,93575,Child Care and Development Block Grant,2001AKCCC3,CCC3-2020,4/13/2020,AK ST DHSS,JUNEAU,AK,C3,"$6,489,103"
ACF,93575,Child Care and Development Block Grant,20QYAKCCC3,CCC3-2020,4/13/2020,KENAITZE INDIAN TRIBE,KENAI,AK,C3,"$164,981"
ACF,93575,Child Care and Development Block Grant,20RTAKCCC3,CCC3-2020,4/13/2020,AGDAAQUX TRIBE OF KING COVE,KING COVE,AK,C3,"$7,740"
ACF,93575,Child Care and Development Block Grant,20TZAKCCC3,CCC3-2020,4/13/2020,CHILKAT INDIAN VILLAGE,KLUKWAN,AK,C3,"$6,450"
ACF,93575,Child Care and Development Block Grant,20PIAKCCC3,CCC3-2020,4/13/2020,KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,C3,"$98,292"
ACF,93575,Child Care and Development Block Grant,20UTAKCCC3,CCC3-2020,4/13/2020,Shoonaq Tribe of Kodiak,KODIAK,AK,C3,"$23,348"
ACF,93575,Child Care and Development Block Grant,20POAKCCC3,CCC3-2020,4/13/2020,MANIILAQ ASSOCIATION,KOTZEBUE,AK,C3,"$262,370"
ACF,93575,Child Care and Development Block Grant,20SOAKCCC3,CCC3-2020,4/13/2020,ORGANIZED VILLAGE OF KWETHLUK,KWETHLUK,AK,C3,"$34,570"
ACF,93575,Child Care and Development Block Grant,20PAAKCCC3,CCC3-2020,4/13/2020,METLAKATLA INDIAN COMMUNITY,METLAKATLA,AK,C3,"$60,497"
ACF,93575,Child Care and Development Block Grant,20RLAKCCC3,CCC3-2020,4/13/2020,ASA'CARSARMIUT TRIBAL COUNCIL,MOUNTAIN VILLAGE,AK,C3,"$29,668"
ACF,93575,Child Care and Development Block Grant,20SVAKCCC3,CCC3-2020,4/13/2020,NINILCHIK TRADITIONAL COUNCIL,NINILCHIK,AK,C3,"$42,438"
ACF,93575,Child Care and Development Block Grant,20VAAKCCC3,CCC3-2020,4/13/2020,NOME ESKIMO COMMUNITY,NOME,AK,C3,"$68,108"
ACF,93575,Child Care and Development Block Grant,20PYAKCCC3,CCC3-2020,4/13/2020,"KAWERAK, INC",NOME,AK,C3,"$290,748"
ACF,93575,Child Care and Development Block Grant,20WVAKCCC3,CCC3-2020,4/13/2020,TRIBAL GOVERNMENT OF ST. PAUL,SAINT PAUL ISLAND,AK,C3,"$17,672"
ACF,93575,Child Care and Development Block Grant,20QBAKCCC3,CCC3-2020,4/13/2020,SITKA TRIBE OF ALASKA,SITKA,AK,C3,"$50,823"
ACF,93575,Child Care and Development Block Grant,20SUAKCCC3,CCC3-2020,4/13/2020,KNIK TRIBAL COUNCIL,WASILLA,AK,C3,"$304,680"
ACF,93575,Child Care and Development Block Grant,20RNAKCCC3,CCC3-2020,4/13/2020,YAKUTAT TLINGIT TRIBE/NATIVE ASSOCIATION,YAKUTAT,AK,C3,"$10,319"
ACF,93575,Child Care and Development Block Grant,20PAALCCC3,CCC3-2020,4/13/2020,POARCH CREEK INDIANS,ATMORE,AL,C3,"$47,985"
ACF,93575,Child Care and Development Block Grant,2001ALCCC3,CCC3-2020,4/13/2020,AL ST DEPARTMENT OF HUMAN RESOURCES,MONTGOMERY,AL,C3,"$64,957,270"
ACF,93575,Child Care and Development Block Grant,2001ARCCC3,CCC3-2020,4/13/2020,AR ST DEPARTMENT OF HUMAN SERVICES,LITTLE ROCK,AR,C3,"$41,462,912"
ACF,93575,Child Care and Development Block Grant,2001ASCCC3,CCC3-2020,4/13/2020,AS DEPARTMENT OF HUMAN RESOURCES,PAGO PAGO,AS,C3,"$4,455,881"
ACF,93575,Child Care and Development Block Grant,20PUAZCCC3,CCC3-2020,4/13/2020,YAVAPAI-APACHE NATION,CAMP VERDE,AZ,C3,"$98,163"
ACF,93575,Child Care and Development Block Grant,20PSAZCCC3,CCC3-2020,4/13/2020,FORT MCDOWELL INDIAN COMMUNITY,FOUNTAIN HILLS,AZ,C3,"$217,094"
ACF,93575,Child Care and Development Block Grant,20PLAZCCC3,CCC3-2020,4/13/2020,HOPI INDIAN TRIBAL COUNCIL,KYKOTSMOVI,AZ,C3,"$276,817"
ACF,93575,Child Care and Development Block Grant,20PFAZCCC3,CCC3-2020,4/13/2020,HUALAPAI TRIBAL COUNCIL,PEACH SPRINGS,AZ,C3,"$92,229"
ACF,93575,Child Care and Development Block Grant,2001AZCCC3,CCC3-2020,4/13/2020,AZ ST DEPARTMENT OF ECONOMIC SECURITY & VOCATIONAL REHA,PHOENIX,AZ,C3,"$88,005,835"
ACF,93575,Child Care and Development Block Grant,20PJAZCCC3,CCC3-2020,4/13/2020,GILA RIVER INDIAN COMMUNITY,SACATON,AZ,C3,"$606,650"
ACF,93575,Child Care and Development Block Grant,20PIAZCCC3,CCC3-2020,4/13/2020,SAN CARLOS APACHE TRIBE,SAN CARLOS,AZ,C3,"$479,980"
ACF,93575,Child Care and Development Block Grant,20PMAZCCC3,CCC3-2020,4/13/2020,SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY,SCOTTSDALE,AZ,C3,"$1,592,667"
ACF,93575,Child Care and Development Block Grant,20PCAZCCC3,CCC3-2020,4/13/2020,TOHONO OODHAM NATION,SELLS,AZ,C3,"$1,100,304"
ACF,93575,Child Care and Development Block Grant,20PYAZCCC3,CCC3-2020,4/13/2020,COCOPAH INDIAN TRIBE COCOPAH TRIBAL OFFICE,SOMERTON,AZ,C3,"$25,153"
ACF,93575,Child Care and Development Block Grant,20PPAZCCC3,CCC3-2020,4/13/2020,PASCUA YAQUI TRIBE OF ARIZONA,TUCSON,AZ,C3,"$422,450"
ACF,93575,Child Care and Development Block Grant,20PDAZCCC3,CCC3-2020,4/13/2020,WHITE MOUNTAIN APACHE TRIBE,WHITERIVER,AZ,C3,"$806,588"
ACF,93575,Child Care and Development Block Grant,20PGAZCCC3,CCC3-2020,4/13/2020,NAVAJO NATION,WINDOW ROCK,AZ,C3,"$6,715,335"
ACF,93575,Child Care and Development Block Grant,20PVAZCCC3,CCC3-2020,4/13/2020,QUECHAN TRIBAL COUNCIL,YUMA,AZ,C3,"$101,001"
ACF,93575,Child Care and Development Block Grant,20POCACCC3,CCC3-2020,4/13/2020,BIG SANDY RANCHERIA,AUBERRY,CA,C3,"$20,639"
ACF,93575,Child Care and Development Block Grant,20RYCACCC3,CCC3-2020,4/13/2020,BISHOP INDIAN TRIBAL COUNCIL,BISHOP,CA,C3,"$53,403"
ACF,93575,Child Care and Development Block Grant,20QFCACCC3,CCC3-2020,4/13/2020,PIT RIVER TRIBAL COUNCIL,BURNEY,CA,C3,"$25,540"
ACF,93575,Child Care and Development Block Grant,20RDCACCC3,CCC3-2020,4/13/2020,CAMPO BAND OF MISSION INDIANS,CAMPO,CA,C3,"$58,047"
ACF,93575,Child Care and Development Block Grant,20PLCACCC3,CCC3-2020,4/13/2020,MECHOOPDA INDIAN TRIBE OF CHICO RANCHERIA CALIFORNIA,CHICO,CA,C3,"$99,969"
ACF,93575,Child Care and Development Block Grant,20PRCACCC3,CCC3-2020,4/13/2020,CLOVERDALE RANCHERIA TRIBE,CLOVERDALE,CA,C3,"$20,381"
ACF,93575,Child Care and Development Block Grant,20PPCACCC3,CCC3-2020,4/13/2020,PICAYUNE RANCHERIA OF THE CHUKCHANSI INDIANS,COARSEGOLD,CA,C3,"$37,021"
ACF,93575,Child Care and Development Block Grant,20UOCACCC3,CCC3-2020,4/13/2020,COLUSA INDIAN COMMUNITY COUNCIL,COLUSA,CA,C3,"$11,738"
ACF,93575,Child Care and Development Block Grant,20SBCACCC3,CCC3-2020,4/13/2020,ROUND VALLEY INDIAN TRIBES,COVELO,CA,C3,"$292,425"
ACF,93575,Child Care and Development Block Grant,20PICACCC3,CCC3-2020,4/13/2020,QUARTZ VALLEY INDIAN RESERVATION,FORT JONES,CA,C3,"$19,994"
ACF,93575,Child Care and Development Block Grant,20SICACCC3,CCC3-2020,4/13/2020,DRY CREEK RANCHERIA,GEYSERVILLE,CA,C3,"$25,798"
ACF,93575,Child Care and Development Block Grant,20QNCACCC3,CCC3-2020,4/13/2020,KARUK TRIBE OF CALIFORNIA,HAPPY CAMP,CA,C3,"$65,915"
ACF,93575,Child Care and Development Block Grant,20PXCACCC3,CCC3-2020,4/13/2020,HOOPA VALLEY BUSINESS COUNCIL,HOOPA,CA,C3,"$80,620"
ACF,93575,Child Care and Development Block Grant,20QLCACCC3,CCC3-2020,4/13/2020,HOPLAND BAND OF POMO INDIANS,HOPLAND,CA,C3,"$14,060"
ACF,93575,Child Care and Development Block Grant,20PJCACCC3,CCC3-2020,4/13/2020,YUROK TRIBE,KLAMATH,CA,C3,"$17,156"
ACF,93575,Child Care and Development Block Grant,20PMCACCC3,CCC3-2020,4/13/2020,SCOTTS VALLEY BAND OF POMO INDIANS,LAKEPORT,CA,C3,"$8,384"
ACF,93575,Child Care and Development Block Grant,20TFCACCC3,CCC3-2020,4/13/2020,BEAR RIVER BAND OF ROHNERVILLE RANCHERIA,LOLETA,CA,C3,"$21,671"
ACF,93575,Child Care and Development Block Grant,20QQCACCC3,CCC3-2020,4/13/2020,TABLE BLUFF RANCHERIA,LOLETA,CA,C3,"$17,156"
ACF,93575,Child Care and Development Block Grant,20QTCACCC3,CCC3-2020,4/13/2020,FORT MOJAVE INDIAN TRIBE,NEEDLES,CA,C3,"$33,796"
ACF,93575,Child Care and Development Block Grant,20QOCACCC3,CCC3-2020,4/13/2020,ROBINSON RANCHERIA CITIZENS COUNCIL,NICE,CA,C3,"$13,673"
ACF,93575,Child Care and Development Block Grant,20PQCACCC3,CCC3-2020,4/13/2020,NORTH FORK RANCHERIA,NORTH FORK,CA,C3,"$47,727"
ACF,93575,Child Care and Development Block Grant,20PGCACCC3,CCC3-2020,4/13/2020,MOORETOWN RANCHERIA,OROVILLE,CA,C3,"$61,916"
ACF,93575,Child Care and Development Block Grant,20PNCACCC3,CCC3-2020,4/13/2020,ENTERPRISE RANCHERIA,OROVILLE,CA,C3,"$28,249"
ACF,93575,Child Care and Development Block Grant,20QPCACCC3,CCC3-2020,4/13/2020,BERRY CREEK RANCHERIA,OROVILLE,CA,C3,"$18,188"
ACF,93575,Child Care and Development Block Grant,20PECACCC3,CCC3-2020,4/13/2020,REDDING RANCHERIA INDIAN HEALTH SERVICES,REDDING,CA,C3,"$199,938"
ACF,93575,Child Care and Development Block Grant,20SCCACCC3,CCC3-2020,4/13/2020,"California Rural Indian Health Board, Inc.",ROSEVILLE,CA,C3,"$555,828"
ACF,93575,Child Care and Development Block Grant,20QACACCC3,CCC3-2020,4/13/2020,INTER-TRIBAL COUNCIL OF CALIFORNIA,SACRAMENTO,CA,C3,"$96,873"
ACF,93575,Child Care and Development Block Grant,2001CACCC3,CCC3-2020,4/13/2020,California Department of Education,SACRAMENTO,CA,C3,"$350,313,504"
ACF,93575,Child Care and Development Block Grant,20UZCACCC3,CCC3-2020,4/13/2020,CAILFORNIA INDIAN MANPOWER CONSORTIUM,SACRAMENTO,CA,C3,"$260,564"
ACF,93575,Child Care and Development Block Grant,20ROCACCC3,CCC3-2020,4/13/2020,SOBOBA BAND OF LUISENO INDIANS,SAN JACINTO,CA,C3,"$62,690"
ACF,93575,Child Care and Development Block Grant,20TJCACCC3,CCC3-2020,4/13/2020,Tolowa Dee-ni` Nation,SMITH RIVER,CA,C3,"$60,497"
ACF,93575,Child Care and Development Block Grant,20QCCACCC3,CCC3-2020,4/13/2020,SUSANVILLE INDIAN RANCHERIA,SUSANVILLE,CA,C3,"$29,281"
ACF,93575,Child Care and Development Block Grant,20RLCACCC3,CCC3-2020,4/13/2020,TORRES MARTINEZ INDIAN TRIBES,THERMAL,CA,C3,"$38,311"
ACF,93575,Child Care and Development Block Grant,20PDCACCC3,CCC3-2020,4/13/2020,PINOLEVILLE POMO NATION,UKIAH,CA,C3,"$13,286"
ACF,93575,Child Care and Development Block Grant,20PACACCC3,CCC3-2020,4/13/2020,"SOUTHERN CALIFORNIA TRIBAL CHAIRMEN'S ASSN, INC",VALLEY CENTER,CA,C3,"$34,957"
ACF,93575,Child Care and Development Block Grant,2001COCCC3,CCC3-2020,4/13/2020,CO DEPARTMENT OF HUMAN SERVICES,DENVER,CO,C3,"$42,457,884"
ACF,93575,Child Care and Development Block Grant,20PCCOCCC3,CCC3-2020,4/13/2020,UTE MOUNTAIN UTE TRIBE,TOWAOC,CO,C3,"$128,347"
ACF,93575,Child Care and Development Block Grant,2001CTCCC3,CCC3-2020,4/13/2020,CONNECTICUT OFFICE OF EARLY CHILDHOOD,HARTFORD,CT,C3,"$23,504,479"
ACF,93575,Child Care and Development Block Grant,20B2CTCCC3,CCC3-2020,4/13/2020,MOHEGAN TRIBE (THE),UNCASVILLE,CT,C3,"$31,990"
ACF,93575,Child Care and Development Block Grant,2001DCCCC3,CCC3-2020,4/13/2020,Office of the State Superintendent,WASHINGTON,DC,C3,"$6,000,400"
ACF,93575,Child Care and Development Block Grant,2001DECCC3,CCC3-2020,4/13/2020,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,NEW CASTLE,DE,C3,"$9,757,763"
ACF,93575,Child Care and Development Block Grant,20PBFLCCC3,CCC3-2020,4/13/2020,MICCOSUKEE TRIBE OF INDIANS OF FLORIDA (HEAD START),OCHOPEE,FL,C3,"$37,150"
ACF,93575,Child Care and Development Block Grant,2001FLCCC3,CCC3-2020,4/13/2020,"FL DEPT OF EDUCATION, OFFICE OF EARLY LEARNING",TALLAHASSEE,FL,C3,"$223,605,188"
ACF,93575,Child Care and Development Block Grant,2010GACCC3,CCC3-2020,4/13/2020,BRIGHT FROM THE START-GA Dept of Early Care & Learning,ATL,GA,C3,"$144,539,371"
ACF,93575,Child Care and Development Block Grant,2001GUCCC3,CCC3-2020,4/13/2020,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,AGANA,GU,C3,"$6,420,621"
ACF,93575,Child Care and Development Block Grant,2001HICCC3,CCC3-2020,4/13/2020,HI ST OFFICE OF THE GOVERNOR,HONOLULU,HI,C3,"$11,990,147"
ACF,93575,Child Care and Development Block Grant,2001IACCC3,CCC3-2020,4/13/2020,Iowa State Dept of Social Services/Human Services,DES MOINES,IA,C3,"$31,899,093"
